name,roll,email,parent_email
Akash N,U03FS25C0124,u03fs25c0124@college.edu,
Akshay C,U03FS25C0125,u03fs25c0125@college.edu,
Amith K Y,U03FS25C0126,u03fs25c0126@college.edu,
Ananya K Y,U03FS25C0127,u03fs25c0127@college.edu,
Anjali S,U03FS25C0128,u03fs25c0128@college.edu,
Arya Rajath M,U03FS25C0129,u03fs25c0129@college.edu,
C M Dheeraj,U03FS25C0130,u03fs25c0130@college.edu,
Chandru A,U03FS25C0131,u03fs25c0131@college.edu,
Chinmay C,U03FS25C0132,u03fs25c0132@college.edu,
Chirag Gowda C S,U03FS25C0133,u03fs25c0133@college.edu,
Deepika S,U03FS25C0134,u03fs25c0134@college.edu,
Dhanush M.,U03FS25C0135,u03fs25c0135@college.edu,
Divya Shree R,U03FS25C0136,u03fs25c0136@college.edu,
G Amrutha,U03FS25C0137,u03fs25c0137@college.edu,
R Gagandeep,U03FS25C0138,u03fs25c0138@college.edu,
Harshitha R,U03FS25C0139,u03fs25c0139@college.edu,
Jeevitha R,U03FS25C0140,u03fs25c0140@college.edu,
Lohith T Gowda,U03FS25C0141,u03fs25c0141@college.edu,
Lokesh E,U03FS25C0142,u03fs25c0142@college.edu,
Madhushree D,U03FS25C0143,u03fs25c0143@college.edu,
Manya D,U03FS25C0144,u03fs25c0144@college.edu,
Monisha B K,U03FS25C0145,u03fs25c0145@college.edu,
Mustak Nadaf,U03FS25C0146,u03fs25c0146@college.edu,
Namitha T R,U03FS25C0147,u03fs25c0147@college.edu,
Punith S,U03FS25C0148,u03fs25c0148@college.edu,
R Ruchith,U03FS25C0149,u03fs25c0149@college.edu,
Siddharth S,U03FS25C0150,u03fs25c0150@college.edu,
S Varsha,U03FS25C0151,u03fs25c0151@college.edu,
Sachin B K,U03FS25C0152,u03fs25c0152@college.edu,
Sanjay S,U03FS25C0153,u03fs25c0153@college.edu,
Shamanth G,U03FS25C0154,u03fs25c0154@college.edu,
R Shreyas,U03FS25C0155,u03fs25c0155@college.edu,
Shrusti R,U03FS25C0156,u03fs25c0156@college.edu,
Sriraksha H R,U03FS25C0157,u03fs25c0157@college.edu,
Vijay M,U03FS25C0158,u03fs25c0158@college.edu,
Vinutha K,U03FS25C0159,u03fs25c0159@college.edu,
Yashwanth D,U03FS25C0160,u03fs25c0160@college.edu,
Mukesh P,U03FS25C0161,u03fs25c0161@college.edu,
R Nikhil,U03FS25C0162,u03fs25c0162@college.edu,
Sneha N,U03FS25C0163,u03fs25c0163@college.edu,
Srujani M K,U03FS25C0164,u03fs25c0164@college.edu,
Suresh S E,U03FS25C0165,u03fs25c0165@college.edu,
Yashaswini S,U03FS25C0166,u03fs25c0166@college.edu,
Dhananjay Kumar Gupta,U03FS25C0167,u03fs25c0167@college.edu,
Rishika Paramar,U03FS25C0168,u03fs25c0168@college.edu,
Rishika S P,U03FS25C0169,u03fs25c0169@college.edu,
Suman,U03FS25C0170,u03fs25c0170@college.edu,
Vikas Gowda C,U03FS25C0171,u03fs25c0171@college.edu,
Zain Ulla Khan,U03FS25C0172,u03fs25c0172@college.edu,
Sachit Mallick,U03FS25C0173,u03fs25c0173@college.edu,
