name,roll,email,class,attendance
Aarav Sharma,CS-11,aarav.sharma@Attendex.edu,CS-A,94
Ishani Patel,CS-12,ishani.patel@Attendex.edu,CS-A,87
Vihaan Gupta,CS-13,vihaan.gupta@Attendex.edu,CS-B,79
Ananya Iyer,CS-14,ananya.iyer@Attendex.edu,CS-B,91
Arjun Reddy,CS-15,arjun.reddy@Attendex.edu,CS-A,83
Saanvi Nair,CS-16,saanvi.nair@Attendex.edu,CS-B,96
Rohan Verma,CS-17,rohan.verma@Attendex.edu,CS-A,74
Misha Kulkarni,CS-18,misha.kulkarni@Attendex.edu,CS-B,89
Aditya Joshi,CS-19,aditya.joshi@Attendex.edu,CS-A,88
Diya Malhotra,CS-20,diya.malhotra@Attendex.edu,CS-B,77
Pranav Singh,CS-21,pranav.singh@Attendex.edu,CS-A,92
Tanvi Rao,CS-22,tanvi.rao@Attendex.edu,CS-B,85
Ayush Tiwari,CS-23,ayush.tiwari@Attendex.edu,CS-A,66
Kavya Saxena,CS-24,kavya.saxena@Attendex.edu,CS-B,98
Devansh Mishra,CS-25,devansh.mishra@Attendex.edu,CS-A,71
